Title,Year,Mileage,Power,Price,Location,Image_URL
SKODA SUPERB 2.0 TDI DSG 4X4 200 KS.2021 GOD.,2021,"110,000 km",143 kW (192 Hp),"29.000
 €",Куманово,//reklama5.mk/photos/big/8520b183-badc-4e6f-b887-52d071b33e6a.jpg
Volkswagen transporter 2.0 tdi klima,2011,"250,000 km",62 kW (83 Hp),"9.300
 €",Кавадарци,//reklama5.mk/photos/big/8d6afe95-29e8-45b6-8839-32578f064295.jpg
Volkswagen crafter 2.0 tdi 2019,2019,"180,000 km",103 kW (138 Hp),"17.900
 €",Кавадарци,//reklama5.mk/photos/big/1a5f66fa-9bfd-48bb-a00f-ebe0e5e1c91b.jpg
Mini Cooper 1.6i,2008,"200,000 km",88 kW (118 Hp),По Договор,Аеродром / Скопје,//reklama5.mk/photos/big/a32ee9b8-acff-4468-88b6-ed16080d52bd.jpg
RENAULT MEGANE 1.5 DCI 2019,2019,"170,000 km",85 kW (114 Hp),"9.800
 €",Аеродром / Скопје,//reklama5.mk/photos/big/e568da63-5efc-4385-8698-faca1f2f5325.jpg
MAZDA 3 2012 god.1.6 DIZEL UVOZ SVAJCARIJA,2012,"190,000 km",85 kW (114 Hp),"6.000
 €",Куманово,//reklama5.mk/photos/big/4590e8d1-c090-4a33-bda1-fe6ff71eaca2.jpg
Vw Tiguan 2.0 TDI 4 motion,2009,"200,000 km",103 kW (138 Hp),"1
 €",Куманово,//reklama5.mk/photos/big/b0c62a45-0680-4f06-8711-ccd32ddf560f.jpg
PEUGEOT 3008 AUTOMATIC 2020,2020,"170,000 km",96 kW (129 Hp),"16.500
 €",Аеродром / Скопје,//reklama5.mk/photos/big/1d4cf763-2c92-4b9a-a288-9be0256735eb.jpg
VW CADDY 1.6 TDI 102KS 2011 G FULL OPREMA,2011,"200,000 km",75 kW (101 Hp),"7.200
 €",Кочани,//reklama5.mk/photos/big/a83b7f1a-30a9-403c-b0e8-b1c6e9ba100f.jpg
SEAT LEON 1.6 TDI  2010,2010,"190,000 km",77 kW (103 Hp),"6.300
 €",Аеродром / Скопје,//reklama5.mk/photos/big/b689486c-c50f-49c1-a6f1-ad6df433e759.jpg
AUDI A3 2.0TDI 2013G,2013,"200,000 km",110 kW (148 Hp),"11.500
 €",Аеродром / Скопје,//reklama5.mk/photos/big/b0fef97d-cd48-4a18-9cd1-988975ec02a6.jpg
Volvo v40 2.0 d4 volvo motor,2012,"200,000 km",130 kW (174 Hp),"9.200
 €",Кавадарци,//reklama5.mk/photos/big/7a1ecde4-cf13-4ebf-88f5-9577b6657f6b.jpg
CITROEN C3 1.2 Turbo ODLICNA,2017,"140,000 km",81 kW (109 Hp),"7.300
 €",Бутел / Скопје,//reklama5.mk/photos/big/17b17b4f-9a14-460c-aacb-89fc7ebea1db.jpg
VW POLO 1.2 BENZIN 64KS 2006 GODINA,2006,"250,000 km",47 kW (63 Hp),"3.350
 €",Кочани,//reklama5.mk/photos/big/97dea35d-dedf-4985-887f-37a98e5062f3.jpg
OPEL ZAFIRA 1.6CDTI 208,2018,"170,000 km",88 kW (118 Hp),"11.900
 €",Аеродром / Скопје,//reklama5.mk/photos/big/327bd31e-d21b-48f1-87eb-500b64cb1f2c.jpg
Golf 7 Dsg 150KS 2015,2015,"200,000 km",110 kW (148 Hp),"777
 €",Сарај / Скопје,//reklama5.mk/photos/big/77445a97-00e2-4481-ae87-f12dee9339f6.jpg
VW Golf 6 2012g,2012,"200,000 km",77 kW (103 Hp),"5.099
 €",Автокоманда / Скопје,//reklama5.mk/photos/big/0390702c-85f4-426b-a30c-c698628eb223.jpg
Audi A3 1.9 tdi Top Sostojba,2008,"190,000 km",77 kW (103 Hp),"4.799
 €",Автокоманда / Скопје,//reklama5.mk/photos/big/7005a750-f010-49a0-b62f-3cb57c8fef0b.jpg
VOLVO XC40 D3 2.0D 150HP INSCRIPTION 2020,2020,"190,000 km",110 kW (148 Hp),"24.990
 €",Крива Паланка,//reklama5.mk/photos/big/b4470558-07e1-43cd-829f-76e32aa8b5fe.jpg
